;link
210;http://www.gendarmerie.gov.mg/blog/2014/12/visite-du-president-de-la-republique-de-madagascar-au-camp-lieutenant-colonel-mohajy-andriamahasolo-fign/
211;http://www.gendarmerie.gov.mg/blog/2014/12/visite-du-president-de-la-republique-de-madagascar-au-camp-lieutenant-colonel-mohajy-andriamahasolo-fign/#more-1541
212;http://www.gendarmerie.gov.mg/blog/2014/12/visite-officielle-du-colonel-bertrand-de-reboul-dans-le-cadre-dune-mission-devaluation-de-cooperation/
213;http://www.gendarmerie.gov.mg/blog/2014/12/visite-officielle-du-colonel-bertrand-de-reboul-dans-le-cadre-dune-mission-devaluation-de-cooperation/#more-1531
214;http://www.gendarmerie.gov.mg/blog/2015/01/
215;http://www.gendarmerie.gov.mg/blog/2015/01/15/
216;http://www.gendarmerie.gov.mg/blog/2015/01/16/
217;http://www.gendarmerie.gov.mg/blog/2015/01/20/
218;http://www.gendarmerie.gov.mg/blog/2015/01/27/
219;http://www.gendarmerie.gov.mg/blog/2015/01/28/
220;http://www.gendarmerie.gov.mg/blog/2015/01/celebration-de-la-journee-des-officiers-2015-au-sein-de-la-gendarmerie-nationale/
221;http://www.gendarmerie.gov.mg/blog/2015/01/celebration-de-la-journee-des-officiers-2015-au-sein-de-la-gendarmerie-nationale/#more-1554
222;http://www.gendarmerie.gov.mg/blog/2015/01/iavoloha-remise-de-drapeau/
223;http://www.gendarmerie.gov.mg/blog/2015/01/iavoloha-remise-de-drapeau/#more-1582
224;http://www.gendarmerie.gov.mg/blog/2015/01/la-presentation-de-voeux-du-secretaire-detat-a-la-gendarmerie-et-du-commandant-de-la-gendarmerie-nationale/
225;http://www.gendarmerie.gov.mg/blog/2015/01/la-presentation-de-voeux-du-secretaire-detat-a-la-gendarmerie-et-du-commandant-de-la-gendarmerie-nationale/#more-1576
226;http://www.gendarmerie.gov.mg/blog/2015/01/nomination-des-generaux-au-titre-de-lannee-2014-au-sein-de-la-gendarmerie-nationale/
227;http://www.gendarmerie.gov.mg/blog/2015/01/nomination-des-generaux-au-titre-de-lannee-2014-au-sein-de-la-gendarmerie-nationale/#more-1563
228;http://www.gendarmerie.gov.mg/blog/2015/01/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-au-palmier-de-la-cirgn-a-ankadilalanaantananarivo-le-26-janvier-2015/
229;http://www.gendarmerie.gov.mg/blog/2015/01/reunion-des-grands-responsables-de-larmee-malagasy-de-la-gendarmerie-nationale-et-de-la-police-nationale-au-palmier-de-la-cirgn-a-ankadilalanaantananarivo-le-26-janvier-2015/#more-1587
230;http://www.gendarmerie.gov.mg/blog/2015/02/
231;http://www.gendarmerie.gov.mg/blog/2015/02/12/
232;http://www.gendarmerie.gov.mg/blog/2015/02/23/
233;http://www.gendarmerie.gov.mg/blog/2015/02/28/
234;http://www.gendarmerie.gov.mg/blog/2015/02/primature-mahazoarivo-le-premier-ministre-convoque-la-gendarmerie-nationale/
235;http://www.gendarmerie.gov.mg/blog/2015/02/primature-mahazoarivo-le-premier-ministre-convoque-la-gendarmerie-nationale/#more-1598
236;http://www.gendarmerie.gov.mg/blog/2015/02/remise-de-don-par-la-gendarmerie-nationale-aux-sinistres/
237;http://www.gendarmerie.gov.mg/blog/2015/02/remise-de-don-par-la-gendarmerie-nationale-aux-sinistres/#more-1592
238;http://www.gendarmerie.gov.mg/blog/2015/02/visite-effectuee-par-le-commandant-de-la-gendarmerie-nationale-aupres-des-sinistres-dampanefy/
239;http://www.gendarmerie.gov.mg/blog/2015/02/visite-effectuee-par-le-commandant-de-la-gendarmerie-nationale-aupres-des-sinistres-dampanefy/#more-1605
240;http://www.gendarmerie.gov.mg/blog/2015/03/
